cat javascript_biarritz_toulouse.csv 
Agathe,Bazin,Toulouse,France,2017,JavaScript
Alexandre,"Da Silva",Toulouse,France,2019,JavaScript
Alphonse,Leleu,Biarritz,France,2019,JavaScript
Andrée,Berthelot,Biarritz,France,2019,JavaScript
Céline,Fabre,Toulouse,France,2019,JavaScript
Chantal,Caron,Biarritz,France,2017,JavaScript
Christelle,Vallet,Biarritz,France,2017,JavaScript
Claude,Samson,Toulouse,France,2019,JavaScript
Danielle,Lecomte,Toulouse,France,2019,JavaScript
Danielle,Perrin,Toulouse,France,2019,JavaScript
Daniel,Roy,Biarritz,France,2017,JavaScript
Édith,Turpin,Biarritz,France,2017,JavaScript
Emmanuelle,Mercier,Biarritz,France,2017,JavaScript
Éric,Meunier,Toulouse,France,2019,JavaScript
Laetitia,Schneider,Biarritz,France,2019,JavaScript
Laurence,Lemaire,Biarritz,France,2019,JavaScript
Léon,Jacquet,Biarritz,France,2019,JavaScript
Marcel,Olivier,Biarritz,France,2019,JavaScript
Mathilde,Descamps,Toulouse,France,2019,JavaScript
Maurice,Munoz,Toulouse,France,2017,JavaScript
Michel,David,Biarritz,France,2019,JavaScript
Michèle,Traore,Toulouse,France,2017,JavaScript
Noël,Noel,Toulouse,France,2019,JavaScript
Pénélope,Paris,Biarritz,France,2017,JavaScript
Raymond,Bouvet,Toulouse,France,2019,JavaScript
Théodore,Bousquet,Biarritz,France,2019,JavaScript
Thérèse,Guyot,Biarritz,France,2019,JavaScript
Thierry,Alexandre,Biarritz,France,2017,JavaScript
Victor,Lopez,Biarritz,France,2019,JavaScript
Vincent,Sanchez,Biarritz,France,2019,JavaScript
Yves,Marie,Biarritz,France,2019,JavaScript
